Numbering,color,root,knock,texture,navel,touch,density,sugar content,good melon
1,green,curl up,turbid sound,clear,Sag,hard slide,0.697,0.46,Yes
2,jet black,curl up,dull,clear,Sag,hard slide,0.774,0.376,Yes
3,jet black,curl up,turbid sound,clear,Sag,hard slide,0.634,0.264,Yes
4,green,curl up,dull,clear,Sag,hard slide,0.608,0.318,Yes
5,light white,curl up,turbid sound,clear,Sag,hard slide,0.556,0.215,Yes
6,green,curl up,turbid sound,clear,slightly concave,soft stick,0.403,0.237,Yes
7,jet black,curl up,turbid sound,slightly mushy,slightly concave,soft stick,0.481,0.149,Yes
8,jet black,curl up,turbid sound,clear,slightly concave,hard slide,0.437,0.211,Yes
9,jet black,curl up,dull,slightly mushy,slightly concave,hard slide,0.666,0.091,no
10,green,stiff,crisp,clear,flat,soft stick,0.243,0.267,no
11,light white,stiff,crisp,Vague,flat,hard slide,0.245,0.057,no
12,light white,curl up,turbid sound,Vague,flat,soft stick,0.343,0.099,no
13,green,curl up,turbid sound,slightly mushy,Sag,hard slide,0.639,0.161,no
14,light white,curl up,dull,slightly mushy,Sag,hard slide,0.657,0.198,no
15,jet black,curl up,turbid sound,clear,slightly concave,soft stick,0.36,0.37,no
16,light white,curl up,turbid sound,Vague,flat,hard slide,0.593,0.042,no
17,green,curl up,dull,slightly mushy,slightly concave,hard slide,0.719,0.103,no
